date time;attacker id;att name;att power;att team;defender id;def name;def power;team;attacker patronage;defender patronage;
25/12/24;4868542;stratis;991965;Kho Pol Aug Ori Ara Aur;27077711;infinity;1159220;Dan Neb Ori LaC Aug Kho;Kho(11064) Alb(9428) Mer(11064) Axe(11064) Cai(11064);Cai(11064)  ###  Mar(11064) Vex(11064) Alb(11064);
25/12/24;4668830;TrumpReturns;1059024;Axe Mar Jor Seb Jhu Yas;52502484;Xiao;1079070;Ruf Ami Neb Hei Pol Kho;Oli(9018) Axe(11064) Alb(11064) Vex(10154) Cai(11064);Oli(11064) Bis(11064) Cai(11064) Axe(11064) Mar(11064);
24/12/24;4292840;Mangas;1131738;Cai LaC Seb Neb Yas Krv;9225344;Борян ;1111092;And Kei Isa Seb Jet Fen;Vex(9076) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Oli(9428) Fen(11064) Mar(9428) Alb(11064) Axe(9820);
24/12/24;23402789;Ragto;966377;Kho Aid Aug Ori Neb Dan;45476935;Хроник Хаоса;991106;Ast Ami Aug Pol Mar Axe;Kho(6396) Axe(11064) Bis(10364)  ###  Cai(9018);Bis(11064) Axe(11064) Alb(11064) Kho(7272) Oli(11064);
24/12/24;4668830;TrumpReturns;1091906;Axe Iri Seb Isa K'A Aur;52672397;Dalar;1106787;Ast Ara Iri Dor Hel Kho;Bis(10154) Alb(11064) Oli(9018) Vex(10154) Cai(11064);Axe(11064) Mar(11064) Oli(11064) Mer(11064) Bis(11064);
24/12/24;4542929;Astro;1098259;Alb Hel Dor Ori Dan Krv;4257212;Василий;1101578;Ast Neb Seb Ori Iri Axe;Bis(9428) Axe(11064) Mer(9428) Fen(9428) Oli(11064);Axe(11064) Cai(9748) Fen(11064) Mer(9560) Oli(11064);
24/12/24;4868542;stratis;1007273;Axe Pol Ori Neb Isa Aur;4181126;Сварог;1105487;Aur Kri Mor Cel Lrs Kho;Kho(11064) Mer(11064)  ###  Axe(11064) Cai(11064);Cai(11064) Mer(11064) Oli(7804) Axe(11064) Kho(11064);
24/12/24;4712527;HRCAK;1173103;Alb Mar Jhu Cel Yas Aur;4837394;Ермак;1063719;Dan Isa Seb Iri Jet Axe;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Cai(11064) Mar(5683) Alb(11064) Oli(11064) Axe(11064);
24/12/24;4411565;СКАРАБЕЙ;1139007;Axe Mar Seb Yas K'A Ast;4372660;Леший;1032871;Dan Seb Hei Iri Mar Axe;Axe(11064) Alb(11064) Cai(11064) Fen(11064) Oli(8996);Cai(11064) Fen(11064) Alb(11064) Oli(9571) Axe(11064);
24/12/24;4178114;Master;1070112;Axe Mar Iri Mor Yas Krv;50955798;Gutsy heart;1088338;Gal Kei Neb Seb Jet Fen;Oli(11064) Bis(6894) Axe(11064) Fen(9428) Alb(9428);Oli(9428) Fen(9428) Cai(9428) Alb(9428) Axe(9428);
